TAG,H-alpha,FOM,H-betaP,FOM,H-beta,FOM,Tm-alpha,FOM,Tm-betaP,FOM,Tm-beta,FOM,,,,,,,,
RRR,18.4,3,,,69.2,4,-51,1,-19.5,0,9.1,6,,RRR,-51,-19.5,9.1,18.4,,69.2
GGG,160.9,1,,,,,,,,,86,1,,GGG,,,86,160.9,,
KKB,,,,,,,31,0,,,34,1,,KKB,31,,34,,,
KKP,,,,,,,-7.4,0,12,0,,,,KKP,-7.4,12,,,,
KKS,,,,,,,6.8,0,17,0,22.6,2,,KKS,6.8,17,22.6,,,
KSK,,,,,,,0,0,,,32,1,,KSK,0,,32,,,
RRB,,,,,,,26,0,,,38,1,,RRB,26,,38,,,
RRC,26,1,,,59,1,,,5.5,0,11.5,1,,RRC,,5.5,11.5,26,,59
RRD,,,,,,,3,1,,,,,,RRD,3,,,,,
RRS,,,,,,,5,0,25,0,31,2,,RRS,5,25,31,,,
RCR,51,1,62,1,,,,,18.5,0,20.5,1,,RCR,,18.5,20.5,51,62,
RCC,,,,,,,,,12.8,0,19,2,,RCC,,12.8,19,,,
RSR,,,,,,,,,,,41,1,,RSR,,,41,,,
AAA,,,,,,,62.9,2,69.5,0,77.8,4,,AAA,62.9,69.5,77.8,,,
BBB,143.2,1,,,,,69.1,2,74.8,0,81.7,7,,BBB,69.1,74.8,81.7,143.2,,
BSB,,,,,,,61.1,1,71.8,0,,,,BSB,61.1,71.8,,,,
CRC,,,,,,,,,,,20,1,,CRC,,,20,,,
CCC,57.3,2,,,95,5,-11.5,2,16.8,0,31.6,8,,CCC,-11.5,16.8,31.6,57.3,,95
CCD,,,,,,,15,1,,,,,,CCD,15,,,,,
CCL,,,,,,,0,1,26,0,30,1,,CCL,0,26,30,,,
CCJ,,,,,,,,,,,-0.5,1,,CCJ,,,-0.5,,,
CCM,,,,,,,3,2,31,0,34.5,1,,CCM,3,31,34.5,,,
CCO,,,,,,,,,4.4,0,,,,CCO,,4.4,,,,
CCP,,,,,,,2,1,,,35,1,,CCP,2,,35,,,
CCS,,,,,,,32,0,38,0,42.5,2,,CCS,32,38,42.5,,,
CDD,,,,,,,,,25,0,,,,CDD,,25,,,,
CLC,67,1,87.5,2,,,6,1,37.7,0,34,1,,CLC,6,37.7,34,67,87.5,
CLL,,,,,,,5,1,31,0,34.1,2,,CLL,5,31,34.1,,,
CLM,,,,,,,,,36.7,0,,,,CLM,,36.7,,,,
CLP,57,1,,,95,1,,,,,,,,CLP,,,,57,,95
CLS,,,,,,,,,40,0,44,1,,CLS,,40,44,,,
CMC,,,,,,,3,1,30,0,34,1,,CMC,3,30,34,,,
CMM,,,,,,,15,1,38,0,43.5,1,,CMM,15,38,43.5,,,
CMO,,,,,,,,,,,13.9,1,,CMO,,,13.9,,,
CMS,,,,,,,,,42,0,45,1,,CMS,,42,45,,,
